title,word_count,character_count,bigrams,lemma,pos,tag,dep,label,context_score,trigger_words,category
24th G8 summit,3,14,"[('24th', 'G8'), ('G8', 'summit')]","['24th', 'G8', 'summit']","['ADJ', 'PROPN', 'NOUN']","['JJ', 'NNP', 'NN']","['amod', 'compound', 'ROOT']","['ORDINAL', '', '']",{'summit': 1.0},['summit'],international
1872 North Cascades earthquake,4,30,"[('1872', 'North'), ('North', 'Cascades'), ('Cascades', 'earthquake')]","['1872', 'North', 'Cascades', 'earthquake']","['NUM', 'PROPN', 'PROPN', 'NOUN']","['CD', 'NNP', 'NNP', 'NN']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'LOC', 'LOC', '']","{'north': 0.567112684105644, 'cascades': 0.02752252158076359, 'earthquake': 1.0}","['north', 'cascades', 'earthquake']",environment
1919 Polish coup d'état attempt in Lithuania,7,44,"[('1919', 'Polish'), ('Polish', 'coup'), ('coup', ""d'état""), (""d'état"", 'attempt'), ('attempt', 'in'), ('in', 'Lithuania')]","['1919', 'polish', 'coup', ""d'état"", 'attempt', 'in', 'Lithuania']","['NUM', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN']","['CD', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP']","['nummod', 'amod', 'compound', 'compound', 'ROOT', 'prep', 'pobj']","['DATE', 'NORP', '', '', '', '', 'GPE']","{'polish': 0.4288506144599023, 'coup': 1.0, ""d'état"": 0.0, 'attempt': 0.38043270960682657, 'lithuania': 0.05516230726424795}","['polish', 'coup', ""d'état"", 'attempt', 'lithuania']",crime
Wango Tango,2,11,"[('Wango', 'Tango')]","['Wango', 'Tango']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['ORG', 'ORG']","{'wango': 1.0, 'tango': 1.0}","['wango', 'tango']",lifestyle
Battle of Pacocha,3,17,"[('Battle', 'of'), ('of', 'Pacocha')]","['battle', 'of', 'Pacocha']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', 'GPE']","{'battle': 1.0, 'pacocha': 0.008540730727941325}","['battle', 'pacocha']",politics
Columbine High School massacre,4,30,"[('Columbine', 'High'), ('High', 'School'), ('School', 'massacre')]","['Columbine', 'High', 'School', 'massacre']","['PROPN', 'PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NNP', 'NN']","['compound', 'compound', 'compound', 'ROOT']","['ORG', '', '', '']","{'columbine_high_school': 0.08304318458216498, 'massacre': 1.0}","['columbine_high_school', 'massacre']",crime
Yugoslav coup d'état,3,21,"[('Yugoslav', 'coup'), ('coup', 'd'), ('d', ""'""), (""'"", 'état')]","['yugoslav', 'coup', ""d'état""]","['ADJ', 'NOUN', 'NOUN']","['JJ', 'NN', 'NNS']","['amod', 'compound', 'ROOT']","['NORP', '', '']","{'yugoslav': 0.34748126115028255, 'coup': 1.0, ""d'état"": 0.0}","['yugoslav', 'coup', ""d'état""]",crime
Operation Market Garden,3,23,"[('Operation', 'Market'), ('Market', 'Garden')]","['Operation', 'Market', 'Garden']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['', '', '']","{'operation': 1.0, 'market': 0.017199346920171096, 'garden': 0.008851832809368838}","['operation', 'market', 'garden']",international
Battle of the Atlantic,4,22,"[('Battle', 'of'), ('of', 'the'), ('the', 'Atlantic')]","['battle', 'of', 'the', 'Atlantic']","['NOUN', 'ADP', 'DET', 'PROPN']","['NN', 'IN', 'DT', 'NNP']","['ROOT', 'prep', 'det', 'pobj']","['', '', '', 'LOC']","{'battle': 1.0, 'atlantic': 0.03502435117920822}","['battle', 'atlantic']",politics
2nd Parachute Brigade in Southern France,6,40,"[('2nd', 'Parachute'), ('Parachute', 'Brigade'), ('Brigade', 'in'), ('in', 'Southern'), ('Southern', 'France')]","['2nd', 'Parachute', 'Brigade', 'in', 'Southern', 'France']","['PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']","['compound', 'compound', 'ROOT', 'prep', 'compound', 'pobj']","['ORDINAL', 'ORG', 'ORG', '', 'LOC', 'LOC']","{'parachute': 0.09540932674923239, 'brigade': 0.20038380549146553, 'southern': 0.3909512426543172, 'france': 1.0}","['parachute', 'brigade', 'southern', 'france']",international
Invasion of Algiers in 1830,5,27,"[('Invasion', 'of'), ('of', 'Algiers'), ('Algiers', 'in'), ('in', '1830')]","['invasion', 'of', 'Algiers', 'in', '1830']","['NOUN', 'ADP', 'PROPN', 'ADP', 'NUM']","['NN', 'IN', 'NNP', 'IN', 'CD']","['ROOT', 'prep', 'pobj', 'prep', 'pobj']","['', '', '', '', 'DATE']","{'invasion': 1.0, 'algiers': 0.12651379966740345}","['invasion', 'algiers']",international
Cyclone Tracy,2,13,"[('Cyclone', 'Tracy')]","['Cyclone', 'Tracy']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'cyclone': 1.0, 'tracy': 0.020896990378020567}","['cyclone', 'tracy']",environment
Libyan Civil War (2011),4,23,"[('Libyan', 'Civil'), ('Civil', 'War'), ('War', '('), ('(', '2011'), ('2011', ')')]","['libyan', 'Civil', 'War', '2011']","['ADJ', 'PROPN', 'PROPN', 'NUM']","['JJ', 'NNP', 'NNP', 'CD']","['amod', 'compound', 'ROOT', 'appos']","['ORG', 'ORG', 'ORG', 'DATE']",{'libyan_civil_war': 1.0},['libyan_civil_war'],politics
2010 Shanghai fire,3,18,"[('2010', 'Shanghai'), ('Shanghai', 'fire')]","['2010', 'Shanghai', 'fire']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'shanghai': 0.11414971874535337, 'fire': 1.0}","['shanghai', 'fire']",environment
Operation Ke,2,12,"[('Operation', 'Ke')]","['Operation', 'Ke']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['PERSON', 'PERSON']","{'operation': 1.0, 'ke': 0.01880719115607235}","['operation', 'ke']",international
Staplehurst rail crash,3,22,"[('Staplehurst', 'rail'), ('rail', 'crash')]","['Staplehurst', 'rail', 'crash']","['PROPN', 'NOUN', 'NOUN']","['NNP', 'NN', 'NN']","['compound', 'compound', 'ROOT']","['ORG', '', '']","{'staplehurst': 0.03307912531288184, 'rail': 0.6268979414793924, 'crash': 1.0}","['staplehurst', 'rail', 'crash']",crime
Williamite War in Ireland,4,25,"[('Williamite', 'War'), ('War', 'in'), ('in', 'Ireland')]","['Williamite', 'War', 'in', 'Ireland']","['PROPN', 'PROPN', 'ADP', 'PROPN']","['NNP', 'NNP', 'IN', 'NNP']","['compound', 'ROOT', 'prep', 'pobj']","['', '', '', 'GPE']","{'williamite_war': 1.0, 'ireland': 0.10401058174654575}","['williamite_war', 'ireland']",politics
Rif War,2,7,"[('Rif', 'War')]","['Rif', 'War']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'rif': 0.01612425033079237, 'war': 1.0}","['rif', 'war']",politics
2012 Malian coup d'état,4,23,"[('2012', 'Malian'), ('Malian', 'coup'), ('coup', ""d'état"")]","['2012', 'malian', 'coup', ""d'état""]","['NUM', 'ADJ', 'NOUN', 'PROPN']","['CD', 'JJ', 'NN', 'NNP']","['nummod', 'amod', 'compound', 'ROOT']","['DATE', 'NORP', '', '']","{'malian': 0.0760908935121058, 'coup': 1.0, ""d'état"": 0.0}","['malian', 'coup', ""d'état""]",crime
Alexisonfire Farewell Tour,3,26,"[('Alexisonfire', 'Farewell'), ('Farewell', 'Tour')]","['Alexisonfire', 'Farewell', 'Tour']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['PERSON', 'PERSON', '']","{'alexisonfire_farewell': 0.018163187873969158, 'tour': 1.0}","['alexisonfire_farewell', 'tour']",travel
Born to Run tours,4,17,"[('Born', 'to'), ('to', 'Run'), ('Run', 'tours')]","['bear', 'to', 'run', 'tour']","['VERB', 'PART', 'VERB', 'NOUN']","['VBN', 'TO', 'VB', 'NNS']","['ROOT', 'aux', 'xcomp', 'dobj']","['', '', '', '']","{'born': 0.41697056384537967, 'run': 1.0, 'tours': 0.9083588309721804}","['born', 'run', 'tours']",travel
Battle of Ciołków,3,17,"[('Battle', 'of'), ('of', 'Ciołków')]","['battle', 'of', 'Ciołków']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', '']","{'battle': 1.0, 'ciołków': 0.008540730727941325}","['battle', 'ciołków']",politics
Malabar rebellion,2,17,"[('Malabar', 'rebellion')]","['Malabar', 'rebellion']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['NORP', '']","{'malabar': 0.0675505159624214, 'rebellion': 1.0}","['malabar', 'rebellion']",crime
Borrowed Heaven tour,3,20,"[('Borrowed', 'Heaven'), ('Heaven', 'tour')]","['borrow', 'Heaven', 'tour']","['VERB', 'PROPN', 'NOUN']","['VBN', 'NNP', 'NN']","['amod', 'compound', 'ROOT']","['', '', '']","{'borrowed': 0.009810666028556958, 'heaven': 0.009810666028556958, 'tour': 1.0}","['borrowed', 'heaven', 'tour']",travel
Operation Dragoon,2,17,"[('Operation', 'Dragoon')]","['Operation', 'Dragoon']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'operation': 1.0, 'dragoon': 0.011685672724930436}","['operation', 'dragoon']",international
Anti-austerity movement in Greece,4,33,"[('Anti-austerity', 'movement'), ('movement', 'in'), ('in', 'Greece')]","['anti', 'austerity', 'movement', 'in', 'Greece']","['ADJ', 'ADJ', 'NOUN', 'ADP', 'PROPN']","['JJ', 'JJ', 'NN', 'IN', 'NNP']","['amod', 'amod', 'ROOT', 'prep', 'pobj']","['', '', '', '', 'GPE']","{'anti': 0.5095388658303888, 'austerity': 0.09279907826276597, 'movement': 1.0, 'greece': 0.09279907826276597}","['anti', 'austerity', 'movement', 'greece']",international
Herrin massacre,2,15,"[('Herrin', 'massacre')]","['Herrin', 'massacre']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['PERSON', '']","{'herrin': 0.022857706336933035, 'massacre': 1.0}","['herrin', 'massacre']",crime
Winter War,2,10,"[('Winter', 'War')]","['Winter', 'War']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'winter': 0.109778864886661, 'war': 1.0}","['winter', 'war']",politics
2006 Hezbollah cross-border raid,4,32,"[('2006', 'Hezbollah'), ('Hezbollah', 'cross-border'), ('cross-border', 'raid')]","['2006', 'Hezbollah', 'cross', 'border', 'raid']","['NUM', 'PROPN', 'ADJ', 'ADJ', 'NOUN']","['CD', 'NNP', 'JJ', 'JJ', 'NN']","['nummod', 'nmod', 'amod', 'amod', 'ROOT']","['DATE', 'ORG', '', '', '']","{'hezbollah': 0.07840340630613593, 'cross': 0.18850332994776509, 'border': 0.2235206854361657, 'raid': 1.0}","['hezbollah', 'cross', 'border', 'raid']",crime
First Mongol invasion of Burma,5,30,"[('First', 'Mongol'), ('Mongol', 'invasion'), ('invasion', 'of'), ('of', 'Burma')]","['first', 'Mongol', 'invasion', 'of', 'Burma']","['ADJ', 'PROPN', 'NOUN', 'ADP', 'PROPN']","['JJ', 'NNP', 'NN', 'IN', 'NNP']","['amod', 'compound', 'ROOT', 'prep', 'pobj']","['ORDINAL', 'NORP', '', '', 'GPE']","{'mongol': 0.0612495605717478, 'invasion': 1.0, 'burma': 0.07237560501236175}","['mongol', 'invasion', 'burma']",international
Jin–Song Wars,2,13,"[('Jin–Song', 'Wars')]","['Jin', '–', 'Song', 'Wars']","['PROPN', 'PUNCT', 'PROPN', 'PROPN']","['NNP', ':', 'NNP', 'NNPS']","['ROOT', 'punct', 'compound', 'appos']","['PERSON', '', '', '']","{'jin': 0.03474326267543948, 'song': 0.05715256423422786, 'wars': 1.0}","['jin', 'song', 'wars']",politics
Operation Medak Pocket,3,22,"[('Operation', 'Medak'), ('Medak', 'Pocket')]","['Operation', 'Medak', 'Pocket']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['', 'PERSON', 'PERSON']","{'operation': 1.0, 'medak': 0.00916982296834094, 'pocket': 0.03575183730823481}","['operation', 'medak', 'pocket']",international
A Walk Down Abbey Road,5,22,"[('A', 'Walk'), ('Walk', 'Down'), ('Down', 'Abbey'), ('Abbey', 'Road')]","['a', 'Walk', 'Down', 'Abbey', 'Road']","['DET', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['DT', 'NNP', 'NNP', 'NNP', 'NNP']","['det', 'compound', 'compound', 'compound', 'ROOT']","['', '', '', '', '']","{'walk': 0.07563065486738026, 'abbey': 0.07563065486738026, 'road': 1.0}","['walk', 'abbey', 'road']",travel
Tehran Conference,2,17,"[('Tehran', 'Conference')]","['Tehran', 'Conference']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['GPE', '']","{'tehran': 0.16717514623256796, 'conference': 1.0}","['tehran', 'conference']",international
Hurricane Elida (2002),3,22,"[('Hurricane', 'Elida'), ('Elida', '('), ('(', '2002'), ('2002', ')')]","['Hurricane', 'Elida', '2002']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'appos']","['EVENT', 'EVENT', 'DATE']","{'hurricane': 1.0, 'elida': 0.008040991673051796}","['hurricane', 'elida']",travel
2012 Romanian protests,3,22,"[('2012', 'Romanian'), ('Romanian', 'protests')]","['2012', 'romanian', 'protest']","['NUM', 'ADJ', 'VERB']","['CD', 'JJ', 'VBZ']","['nummod', 'amod', 'ROOT']","['DATE', 'NORP', '']","{'romanian': 0.22244577040431537, 'protests': 1.0}","['romanian', 'protests']",politics
Slovakia Summit 2005,3,20,"[('Slovakia', 'Summit'), ('Summit', '2005')]","['Slovakia', 'Summit', '2005']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'nummod']","['ORG', 'ORG', 'ORG']","{'slovakia': 0.18469543007369724, 'summit': 1.0}","['slovakia', 'summit']",international
Swedish intervention in the Thirty Years' War,7,45,"[('Swedish', 'intervention'), ('intervention', 'in'), ('in', 'the'), ('the', 'Thirty'), ('Thirty', 'Years'), ('Years', ""'""), (""'"", 'War')]","['swedish', 'intervention', 'in', 'the', 'Thirty', 'Years', 'war']","['ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'NOUN']","['JJ', 'NN', 'IN', 'DT', 'NNP', 'NNPS', 'NN']","['amod', 'ROOT', 'prep', 'det', 'compound', 'poss', 'pobj']","['NORP', '', '', 'DATE', 'DATE', 'DATE', 'DATE']","{'swedish': 0.034287544851263695, 'intervention': 0.04115777414028378, 'years_war': 1.0}","['swedish', 'intervention', 'years_war']",politics
Turkish Airlines Flight 1951,4,28,"[('Turkish', 'Airlines'), ('Airlines', 'Flight'), ('Flight', '1951')]","['Turkish', 'Airlines', 'Flight', '1951']","['PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT', 'nummod']","['ORG', 'ORG', '', 'DATE']","{'turkish': 0.08931179110102433, 'airlines': 0.4166907614656194, 'flight': 1.0}","['turkish', 'airlines', 'flight']",travel
Vauxhall helicopter crash,3,25,"[('Vauxhall', 'helicopter'), ('helicopter', 'crash')]","['Vauxhall', 'helicopter', 'crash']","['PROPN', 'NOUN', 'NOUN']","['NNP', 'NN', 'NN']","['compound', 'compound', 'ROOT']","['ORG', '', '']","{'vauxhall': 0.029092623344574263, 'helicopter': 0.029092623344574263, 'crash': 1.0}","['vauxhall', 'helicopter', 'crash']",crime
Pike River Mine disaster,4,24,"[('Pike', 'River'), ('River', 'Mine'), ('Mine', 'disaster')]","['Pike', 'River', 'Mine', 'disaster']","['PROPN', 'PROPN', 'PROPN', 'NOUN']","['NNP', 'NNP', 'NNP', 'NN']","['compound', 'compound', 'compound', 'ROOT']","['LOC', 'LOC', 'LOC', '']","{'pike_river': 0.23003197812685902, 'disaster': 1.0}","['pike_river', 'disaster']",environment
1957 Cebu Douglas C-47 crash,5,28,"[('1957', 'Cebu'), ('Cebu', 'Douglas'), ('Douglas', 'C-47'), ('C-47', 'crash')]","['1957', 'Cebu', 'Douglas', 'c-47', 'crash']","['NUM', 'PROPN', 'PROPN', 'NOUN', 'NOUN']","['CD', 'NNP', 'NNP', 'NN', 'NN']","['nummod', 'compound', 'nmod', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT', '', '']","{'cebu_douglas': 0.040684615973634174, 'crash': 1.0}","['cebu_douglas', 'crash']",crime
2015 Philadelphia train derailment,4,34,"[('2015', 'Philadelphia'), ('Philadelphia', 'train'), ('train', 'derailment')]","['2015', 'Philadelphia', 'train', 'derailment']","['NUM', 'PROPN', 'NOUN', 'NOUN']","['CD', 'NNP', 'NN', 'NN']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'GPE', '', '']","{'philadelphia': 0.10942935698988225, 'train': 1.0, 'derailment': 0.24559180862130217}","['philadelphia', 'train', 'derailment']",travel
Tropical Storm Beryl (2012),4,27,"[('Tropical', 'Storm'), ('Storm', 'Beryl'), ('Beryl', '('), ('(', '2012'), ('2012', ')')]","['Tropical', 'Storm', 'Beryl', '2012']","['PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT', 'appos']","['EVENT', 'EVENT', 'EVENT', 'DATE']","{'tropical': 0.912879616590522, 'storm': 1.0, 'beryl': 0.037620824963751354}","['tropical', 'storm', 'beryl']",environment
Spanish American wars of independence,5,37,"[('Spanish', 'American'), ('American', 'wars'), ('wars', 'of'), ('of', 'independence')]","['spanish', 'american', 'war', 'of', 'independence']","['ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN']","['JJ', 'JJ', 'NNS', 'IN', 'NN']","['amod', 'amod', 'ROOT', 'prep', 'pobj']","['NORP', 'NORP', '', '', '']","{'spanish_american': 0.5146056451551237, 'wars': 1.0, 'independence': 0.4165557608912863}","['spanish_american', 'wars', 'independence']",politics
Battle of Glen Trool,4,20,"[('Battle', 'of'), ('of', 'Glen'), ('Glen', 'Trool')]","['battle', 'of', 'Glen', 'Trool']","['NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'PERSON', 'PERSON']","{'battle': 1.0, 'glen_trool': 0.006383968371256215}","['battle', 'glen_trool']",politics
Brabant Revolution,2,18,"[('Brabant', 'Revolution')]","['Brabant', 'Revolution']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'brabant': 0.03719233189287826, 'revolution': 1.0}","['brabant', 'revolution']",politics
Cedar Revolution,2,16,"[('Cedar', 'Revolution')]","['Cedar', 'Revolution']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'cedar': 0.06671359839578801, 'revolution': 1.0}","['cedar', 'revolution']",politics
2014 California wildfires,3,25,"[('2014', 'California'), ('California', 'wildfires')]","['2014', 'California', 'wildfire']","['NUM', 'PROPN', 'VERB']","['CD', 'NNP', 'VBZ']","['nummod', 'nsubj', 'ROOT']","['DATE', 'GPE', '']","{'california': 1.0, 'wildfires': 0.7860161058851587}","['california', 'wildfires']",entertainment
2006 North Korean nuclear test,5,30,"[('2006', 'North'), ('North', 'Korean'), ('Korean', 'nuclear'), ('nuclear', 'test')]","['2006', 'north', 'korean', 'nuclear', 'test']","['NUM', 'ADJ', 'ADJ', 'ADJ', 'NOUN']","['CD', 'JJ', 'JJ', 'JJ', 'NN']","['nummod', 'amod', 'amod', 'amod', 'ROOT']","['DATE', 'NORP', 'NORP', '', '']","{'north_korean': 1.0, 'nuclear': 0.37841205388351795, 'test': 0.3369277467139227}","['north_korean', 'nuclear', 'test']",travel
Fall of Baghdad (1917),4,22,"[('Fall', 'of'), ('of', 'Baghdad'), ('Baghdad', '('), ('(', '1917'), ('1917', ')')]","['fall', 'of', 'Baghdad', '1917']","['NOUN', 'ADP', 'PROPN', 'NUM']","['NN', 'IN', 'NNP', 'CD']","['ROOT', 'prep', 'pobj', 'appos']","['', '', '', 'DATE']","{'fall': 1.0, 'baghdad': 0.9855347855238709}","['fall', 'baghdad']",travel
Upper Canada Rebellion,3,22,"[('Upper', 'Canada'), ('Canada', 'Rebellion')]","['Upper', 'Canada', 'Rebellion']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['ORG', 'ORG', 'ORG']","{'upper_canada': 0.2486825574607449, 'rebellion': 1.0}","['upper_canada', 'rebellion']",crime
1984 Air Canada Cup,4,19,"[('1984', 'Air'), ('Air', 'Canada'), ('Canada', 'Cup')]","['1984', 'Air', 'Canada', 'Cup']","['NUM', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT', 'EVENT']",{'air_canada_cup': 1.0},['air_canada_cup'],business
Taxpayer March on Washington,4,28,"[('Taxpayer', 'March'), ('March', 'on'), ('on', 'Washington')]","['Taxpayer', 'March', 'on', 'Washington']","['PROPN', 'PROPN', 'ADP', 'PROPN']","['NNP', 'NNP', 'IN', 'NNP']","['compound', 'ROOT', 'prep', 'pobj']","['', 'DATE', '', 'GPE']","{'taxpayer': 0.05112561722727476, 'march': 1.0, 'washington': 0.32905773031356206}","['taxpayer', 'march', 'washington']",travel
Fronde,1,6,[],['Fronde'],['PROPN'],['NNP'],['ROOT'],['ORG'],{'fronde': 1.0},['fronde'],business
Malari incident,2,15,"[('Malari', 'incident')]","['Malari', 'incident']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['GPE', '']",{'malari_incident': 1.0},['malari_incident'],crime
First Battle of Ypres,4,21,"[('First', 'Battle'), ('Battle', 'of'), ('of', 'Ypres')]","['First', 'Battle', 'of', 'Ypres']","['PROPN', 'PROPN', 'ADP', 'PROPN']","['NNP', 'NNP', 'IN', 'NNP']","['compound', 'ROOT', 'prep', 'pobj']","['', '', '', '']","{'battle': 1.0, 'ypres': 0.007416335164638338}","['battle', 'ypres']",politics
Yom Kippur War,3,14,"[('Yom', 'Kippur'), ('Kippur', 'War')]","['Yom', 'Kippur', 'War']","['PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP']","['compound', 'compound', 'ROOT']","['EVENT', 'EVENT', 'EVENT']","{'yom': 0.008005184549661646, 'kippur': 0.008005184549661646, 'war': 1.0}","['yom', 'kippur', 'war']",politics
Charge of the Light Brigade,5,27,"[('Charge', 'of'), ('of', 'the'), ('the', 'Light'), ('Light', 'Brigade')]","['charge', 'of', 'the', 'Light', 'Brigade']","['NOUN', 'ADP', 'DET', 'PROPN', 'PROPN']","['NN', 'IN', 'DT', 'NNP', 'NNP']","['ROOT', 'prep', 'det', 'compound', 'pobj']","['', '', '', '', '']","{'charge': 0.4751423648762216, 'light': 1.0, 'brigade': 0.8296918182772237}","['charge', 'light', 'brigade']",environment
Cyclone Kamisy,2,14,"[('Cyclone', 'Kamisy')]","['Cyclone', 'Kamisy']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']",{'cyclone_kamisy': 1.0},['cyclone_kamisy'],environment
Braathens SAFE Flight 253,4,25,"[('Braathens', 'SAFE'), ('SAFE', 'Flight'), ('Flight', '253')]","['Braathens', 'SAFE', 'flight', '253']","['PROPN', 'PROPN', 'NOUN', 'NUM']","['NNP', 'NNP', 'NN', 'CD']","['ROOT', 'compound', 'npadvmod', 'nummod']","['ORG', 'ORG', 'ORG', 'CARDINAL']","{'braathens': 0.032368512935640845, 'safe': 0.032368512935640845, 'flight': 1.0}","['braathens', 'safe', 'flight']",travel
The Unforgiving Tour,3,20,"[('The', 'Unforgiving'), ('Unforgiving', 'Tour')]","['the', 'Unforgiving', 'Tour']","['DET', 'PROPN', 'PROPN']","['DT', 'NNP', 'NNP']","['det', 'compound', 'ROOT']","['EVENT', 'EVENT', 'EVENT']","{'unforgiving': 0.012277028830865924, 'tour': 1.0}","['unforgiving', 'tour']",travel
1949 Florida hurricane,3,22,"[('1949', 'Florida'), ('Florida', 'hurricane')]","['1949', 'Florida', 'hurricane']","['NUM', 'PROPN', 'NOUN']","['CD', 'NNP', 'NN']","['nummod', 'compound', 'ROOT']","['DATE', 'GPE', '']","{'florida': 0.05176695519798493, 'hurricane': 1.0}","['florida', 'hurricane']",travel
Shifta War,2,10,"[('Shifta', 'War')]","['Shifta', 'War']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['', '']","{'shifta': 0.010838163324403986, 'war': 1.0}","['shifta', 'war']",politics
Hurricane Andrew,2,16,"[('Hurricane', 'Andrew')]","['Hurricane', 'Andrew']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['EVENT', 'EVENT']","{'hurricane': 1.0, 'andrew': 0.009561107776258407}","['hurricane', 'andrew']",travel
Third Battle of Seoul,4,21,"[('Third', 'Battle'), ('Battle', 'of'), ('of', 'Seoul')]","['Third', 'Battle', 'of', 'Seoul']","['PROPN', 'PROPN', 'ADP', 'PROPN']","['NNP', 'NNP', 'IN', 'NNP']","['compound', 'ROOT', 'prep', 'pobj']","['', '', '', 'GPE']","{'battle': 1.0, 'seoul': 0.013635190983987366}","['battle', 'seoul']",politics
1874 FA Cup Final,4,17,"[('1874', 'FA'), ('FA', 'Cup'), ('Cup', 'Final')]","['1874', 'FA', 'Cup', 'Final']","['NUM', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', '', '', '']","{'fa': 0.2076833840657207, 'cup': 1.0, 'final': 0.7173316843093348}","['fa', 'cup', 'final']",international
British Empire Economic Conference,4,34,"[('British', 'Empire'), ('Empire', 'Economic'), ('Economic', 'Conference')]","['British', 'Empire', 'Economic', 'Conference']","['PROPN', 'PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP', 'NNP']","['compound', 'compound', 'compound', 'ROOT']","['ORG', 'ORG', 'ORG', 'ORG']","{'british': 0.9096443585107674, 'empire': 0.18260508968444752, 'economic': 0.06911850234696203, 'conference': 1.0}","['british', 'empire', 'economic', 'conference']",international
1994 European Super Cup,4,23,"[('1994', 'European'), ('European', 'Super'), ('Super', 'Cup')]","['1994', 'European', 'Super', 'Cup']","['NUM', 'PROPN', 'PROPN', 'PROPN']","['CD', 'NNP', 'NNP', 'NNP']","['nummod', 'compound', 'compound', 'ROOT']","['DATE', 'EVENT', 'EVENT', 'EVENT']","{'european': 0.14942871448603706, 'super': 0.17225665118206043, 'cup': 1.0}","['european', 'super', 'cup']",sports
Action of 13 March 1806,5,23,"[('Action', 'of'), ('of', '13'), ('13', 'March'), ('March', '1806')]","['action', 'of', '13', 'March', '1806']","['NOUN', 'ADP', 'NUM', 'PROPN', 'NUM']","['NN', 'IN', 'CD', 'NNP', 'CD']","['ROOT', 'prep', 'nummod', 'pobj', 'nummod']","['', '', '', 'DATE', 'DATE']","{'action': 1.0, 'march': 0.5191530636792989}","['action', 'march']",international
